trajectory,approach_terminal_pass,approach_feasibility_pass,trajectory_feasibility_pass,trajectory_after_approach_pass,full_staged_feasibility_pass,approach_final_orientation_error_rad,approach_max_tangential_position_error_m,trajectory_failed_criteria,trajectory_max_orientation_error_rad,trajectory_max_angular_velocity_slack_rad_s,trajectory_qdot_saturation_fraction,trajectory_tail_qdot_saturation_fraction,trajectory_tail_max_qdot_utilization,trajectory_max_abs_force_error_N,trajectory_mean_tangential_position_error_m
e1-cycloid,True,False,True,True,False,0.0020290714973557108,0.008347977658392892,,0.0038625381780712795,0.001022845859322286,0.0,0.0,0.018807562833131748,0.0020256252939621078,5.2357675069316945e-08
e2-figure-eight,True,False,True,True,False,0.0020290714973557108,0.008347977658392892,,0.0203545748607252,0.0044538973826401184,0.0,0.0,0.015816929731774558,0.011842144259021303,1.3445658407762109e-05
e3-circle,True,False,True,True,False,0.0020290714973557108,0.008347977658392892,,0.007845080262833704,0.0016086356647335973,0.0,0.0,0.018773299004054896,0.0020256252939621078,5.641826280880343e-07
e4-cardioid,True,False,True,True,False,0.0020290714973557108,0.008347977658392892,,0.003984908454267708,0.001024357505787461,0.0,0.0,0.015004030029303684,0.0020256252939621078,2.1981218029942302e-07
