posture,initial_q,calibrated_base_z_offset_m,initial_force_N,trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,qdot_saturation_fraction,tail_max_qdot_utilization,case_dir
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e2-figure-eight,1.0,False,max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.00034256910407192586,1.0,0.000741141725155931,0.00040161631181505575,1.8762309914323364e-08,0.034844387332592645,0.035522015552872495,0.0,0.5450930674263775,runs/orientation_posture_sweep/20260524T041329_weight_0p003/bend_0p10/e2_scale-1
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e3-circle,1.0,False,max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.00036768889207703824,1.0,0.0015226098148179506,0.0009402057846871742,1.0142160291298611e-09,0.0755330904105644,0.08277608853859442,0.0,0.14405709134758415,runs/orientation_posture_sweep/20260524T041329_weight_0p003/bend_0p10/e3_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e2-figure-eight,1.0,False,max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0002814820824072184,1.0,0.0007351978234364795,0.0003986359302790356,2.1461156777805626e-09,0.03472088057428398,0.03540700853906509,0.0,0.17765631947961025,runs/orientation_posture_sweep/20260524T041329_weight_0p003/bend_0p125/e2_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e3-circle,1.0,False,max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.00039336744607612937,1.0,0.001521386915630163,0.0009402743814415168,1.3119440475325384e-09,0.07550444953824784,0.08276242773052735,0.0,0.18087249410796769,runs/orientation_posture_sweep/20260524T041329_weight_0p003/bend_0p125/e3_scale-1
