index,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
0,0.0,-0.1,0.15,-0.05,0.0,0.0,4.9999999999967395,1,3.2605029787191597e-12,0.0,0.0,0.0,0.17453292523411995
1,-9.23296550257284e-11,-0.10008777766126704,0.14973331676972118,-0.049649074091210325,3.049686272475707e-12,0.0008076803620488823,4.9999999999880815,1,1.191846621395598e-11,4.060985722879006e-11,2.368174316992426e-05,3.1908111811967516e-09,0.17372877985482607
2,-1.8466353179734973e-10,-0.10017022838486296,0.14946004935908694,-0.049298794137002035,6.080975529582853e-12,0.00161726711028913,4.999999999981429,1,1.857092257750992e-11,4.035173861933222e-11,4.73634454718451e-05,3.192700424050503e-09,0.17292463128660873
3,-2.7700058654427206e-10,-0.1002473609409891,0.1491801893159635,-0.04894912363192138,9.093838975123261e-12,0.002428737772621866,4.999999999985478,1,1.4521717162097048e-11,4.010354078875546e-11,7.104514778366254e-05,3.1946477986384157e-09,0.17212048271844532
4,-3.6934133137467075e-10,-0.10031918185045732,0.14889372378251287,-0.048600025210210014,1.2088297615828274e-11,0.003242074361908237,4.999999999992941,1,7.059242079776595e-12,3.986587005274164e-11,9.472685010598111e-05,3.1966835265424123e-09,0.17131633415036587
5,-4.616855426071253e-10,-0.10038569605190444,0.14860063844244906,-0.048251462564134893,1.5064339641730123e-11,0.004057259825324913,4.999999999988901,1,1.1098677532572765e-11,3.9638945829646984e-11,0.00011840855243902203,3.19882048481615e-09,0.1705121855823851
6,-5.540335159601692e-10,-0.1004469066933449,0.14830091765310896,-0.04790340114453059,1.8021974648310607e-11,0.004874278404368455,4.999999999989191,1,1.0809131367750524e-11,3.9423072503457684e-11,0.00014209025478309056,3.2010740160643372e-09,0.1697080370145176
7,-6.463839921741834e-10,-0.1005028155148159,0.1479945442684939,-0.047555806988257954,2.0961186191005785e-11,0.005693115021922386,4.999999999978956,1,2.1043611297955067e-11,3.9218495440610075e-11,0.0001657719571384331,3.203457188940788e-09,0.16890388844677745
8,-7.387387077518942e-10,-0.10055342252546536,0.14768149982597326,-0.047208647772466826,2.388200240626713e-11,0.006513755826898822,4.999999999985025,1,1.497468815614411e-11,3.902547209478039e-11,0.00018945365950530805,3.205986123230084e-09,0.16809973987917928
9,-8.310963337987821e-10,-0.10059872635454724,0.14736176437054474,-0.04686189171579276,2.6784397933809753e-11,0.007336187622176147,4.999999999985606,1,1.439381946966023e-11,3.8844351815289054e-11,0.00021313536188406583,3.208673964303701e-09,0.16729559131173855
10,-9.234578873998526e-10,-0.1006387240154302,0.14703531659281205,-0.04651550835150403,2.9668408968133344e-11,0.00816039826377038,4.9999999999843325,1,1.566746732351021e-11,3.867531221373174e-11,0.0002368170642748852,3.2115378839963105e-09,0.16649144274447195
11,-1.0158228270901574e-09,-0.10067341086044708,0.14670213386849612,-0.04616946869817769,3.2534014169171896e-11,0.008986376746856413,4.999999999978223,1,2.177724667262737e-11,3.851870947766965e-11,0.0002604987666781234,3.214591649744053e-09,0.16568729417739167
