trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,0.05,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005552897717242855,1.0,9.279285217515003e-06,2.3112769028160265e-09,4.110386153893895e-11,0.17418386008451897,0.07466032247827491,0.15,1.0,1.0,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0/e1_scale-0p05
e1-cycloid,0.075,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005552990351419318,1.0,9.279301428345605e-06,2.311281100889557e-09,4.1103875755539934e-11,0.17418386008451897,0.07466040890291388,0.15,1.0,1.0,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0/e1_scale-0p075
e1-cycloid,0.1,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005553170726111966,1.0,9.279333133892646e-06,2.311291698008317e-09,4.1103901437578895e-11,0.17418386008451897,0.07466057862274032,0.15,1.0,1.0,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0/e1_scale-0p1
