trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,1.0,True,,0.00027102719026141477,1.0,2.0289880039871015e-06,1.897200973171906e-08,2.4887024409519794e-11,0.004057675001369535,0.0270511666757969,0.0270511666757969,0.0,0.0,0.0,0.0,runs/fullspeed_posture_matrix/20260524T022724/e1_scale-1
e2-figure-eight,1.0,True,,0.0004002236522971103,1.0,8.944242301072789e-06,3.4331973232314785e-07,6.468019924450903e-10,0.02283333462144054,0.15222223080960362,0.15222223080960362,0.0,0.0,0.0,0.0,runs/fullspeed_posture_matrix/20260524T022724/e2_scale-1
e3-circle,1.0,True,,0.000821132687569398,1.0,5.999914591097446e-06,1.1696023075496035e-06,1.3933000621302316e-09,0.041972415281675016,0.27981610187783346,0.27981610187783346,0.0,0.0,0.0,0.0,runs/fullspeed_posture_matrix/20260524T022724/e3_scale-1
e4-cardioid,1.0,True,,0.00017724280364998736,1.0,4.011419213392556e-06,4.479704402857127e-08,5.559575949227471e-11,0.008195162914731383,0.054634419431542555,0.054634419431542555,0.0,0.0,0.0,0.0,runs/fullspeed_posture_matrix/20260524T022724/e4_scale-1
