trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,1.0,True,,0.0002708270903703058,1.0,0.00010136691740339613,7.820850438776733e-05,3.114292312609352e-11,0.016772995249312396,0.020723367155237336,0.0039567688760904695,0.026378459173936466,0.026378459173936466,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T023404/e1_scale-1
e2-figure-eight,1.0,False,tail_max_qdot_utilization,0.0005134566894483306,1.0,0.0002657755099582494,0.00028049017609834445,2.910164911601926e-07,0.03667002065926858,0.04141134595474439,0.14999999999999608,0.9999999999999739,0.9999999999999739,0.00275,0.01375,0.0,0.0,runs/orientation_hold_matrix/20260524T023404/e2_scale-1
e3-circle,1.0,True,,0.0006555234577822844,1.0,0.0005297974306642689,0.00032966241701242236,7.543038268856287e-10,0.0792791337407633,0.0869211753487964,0.03694462387222463,0.24629749248149754,0.24629749248149754,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T023404/e3_scale-1
e4-cardioid,1.0,True,,0.00017613695005304299,1.0,0.0001374949822338604,0.00012105256232393342,1.0365010731389932e-10,0.024079555351106275,0.032079155772562755,0.011694298424321348,0.07796198949547566,0.07796198949547566,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T023404/e4_scale-1
