t_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,F_norm_N,T_norm_Nm
0.047556161880493164,1.765678745516691,1.6926618612665103,-0.8071005697579086,-0.10695080744810653,-0.008057694713288715,-0.1231568331161451,2.5756818395638743,0.1633126057629739
0.09754800796508789,2.223033550840312,1.9188735293424002,-1.0137701329473545,-0.12581710241594823,-0.009666459584217328,-0.11701375242529594,3.1067158982161116,0.17209184163663008
0.14753222465515137,1.6321199346082604,1.6662209391091247,-0.7059091290529876,-0.11446334548309794,-0.017458872870710893,-0.12830466628599208,2.4368864145363265,0.17282579984440538
0.19753217697143555,2.5422710380622675,1.8063958726269833,-0.7508770576481302,-0.1212456807539041,0.0035272298444238436,-0.12635595792345025,3.2078067951976648,0.17515360274514982
0.2475740909576416,2.0494928858766834,1.8315505133990277,-0.673023023068705,-0.12411560290105071,-0.0025147628715622783,-0.11265823451499524,2.8298336279668312,0.16763915031945
0.2974262237548828,2.0338154175282654,1.7305959468695908,-0.850229590072506,-0.1196391181274062,-0.00797864735259874,-0.12135573520375173,2.802544886301019,0.17060009339599932
0.34743404388427734,2.1092729032196544,1.5046852202812306,-0.8090163231310524,-0.1089306217514943,-0.0034058344127592343,-0.13081591856190214,2.714335499432952,0.17026533590959866
0.3974151611328125,2.3587493350322286,1.8286823131905088,-1.0447424588596028,-0.1257275657384296,0.0063285604886695575,-0.11223434993314604,3.1621613231198022,0.16865355249530253
0.4474191665649414,1.9797378797670442,1.656627799934094,-0.7212925014993727,-0.11681883164132062,-0.01586532724446416,-0.13000752119359169,2.680306067003955,0.17550015271081487
0.4974100589752197,2.3809344693085706,1.849679111093524,-0.7361852471193621,-0.12028828898691792,0.003012389708016022,-0.1207602932663076,3.1035673795220897,0.17047403142096998
0.5474240779876709,2.5258103884120677,1.9440755170755952,-0.5978083039657358,-0.12724576325048803,0.006043790144577555,-0.12277167834893064,3.2429188245457907,0.1769205942481661
0.5974030494689941,1.989831371396024,1.963237576200715,-0.5248572420876814,-0.12711794132046075,0.00031848252157533124,-0.12424913542983614,2.84415291286705,0.17775522521639248
0.6474511623382568,2.082537402963413,1.8594800346631217,-0.6056675802065996,-0.12049124950259038,-0.006638415121913655,-0.126112108851337,2.856827130185808,0.1745464802307907
0.6973671913146973,2.408096085030751,1.5397124748867863,-0.9773517374617111,-0.11149040318778482,-0.009853338103428606,-0.11894624607941834,3.0207379361311446,0.16332607792738071
0.7474350929260254,2.110260277834473,2.0028870271221346,-0.8609845982513794,-0.1165356556184315,-0.008541889959794862,-0.1211272171738517,3.0341472215511,0.1683012942754284
0.7974281311035156,2.013190901858925,1.4956343538052554,-0.6408857385750295,-0.11043057946752807,-0.012535838377065922,-0.11104044520666319,2.5885506094181117,0.15710518959297276
0.8474400043487549,1.9085579489267457,2.1187073216209984,-0.8961863102662586,-0.12659624020137972,-0.01622508366184593,-0.12430445224582606,2.989090842013762,0.17816132639014054
0.8973691463470459,2.3702256679415705,2.307733915040788,-0.7027933997438047,-0.12898687392277064,-0.00495855942567278,-0.12821011479249475,3.381940878005114,0.18193414877655964
0.947458028793335,2.332231469495397,2.289339657108998,-0.7315185070854575,-0.12606040930836462,0.0018039910207033976,-0.12409234249530672,3.3489549144658755,0.1768993800005181
0.9973790645599365,2.2667386832691827,1.889628908594252,-0.7596757150085748,-0.12135639073419832,0.0043903507454240275,-0.1253241296759424,3.0472789275676426,0.1745072669854516
1.0474610328674316,2.461391711393145,2.06384144302131,-0.720265533171552,-0.1258651160883316,-0.004454686703235952,-0.1306667642246103,3.2919102504658384,0.18148188602304935
1.0974071025848389,2.4339847842144615,1.4866194687277103,-0.9792149899882823,-0.1066044321884186,0.009434230680892115,-0.12771062783175513,3.0154902372923598,0.166623870234539
1.14742112159729,2.3612447347534484,1.61675057383734,-0.6379952329055789,-0.10884351007337129,0.0005134805161965124,-0.12363061462509617,2.9319612945287146,0.16471703682349204
1.197404146194458,2.5435399934218355,2.104096112836217,-0.61074716955932,-0.13181605420161088,0.001337205016103256,-0.12788839272797678,3.3570564867624064,0.1836646434594376
1.247427225112915,2.160506041486111,2.1863980461199257,-0.7752558379058245,-0.13089237538679502,5.964234906585158e-05,-0.1223789594665575,3.1700385463874214,0.17919103552277604
1.2973952293395996,1.4661938931486562,1.7221082813074664,-0.666520360837214,-0.11377517674841567,-0.02048988790183275,-0.12129441541722474,2.3578869473036104,0.16756181415158164
1.3474040031433105,2.0021065004991976,1.5293879113876434,-0.660960181965847,-0.11673328444874148,-0.007640101229994425,-0.12741143658389542,2.60467391144921,0.17297024315577336
1.3974051475524902,2.5745963775917846,1.7373009195625395,-0.7639933513455738,-0.11980815470753453,0.009435743573617938,-0.12462341330003371,3.198506969434618,0.17313007345277312
1.4474411010742188,2.0722124467100485,1.770634808926533,-1.0270549853534507,-0.11907236218670911,0.00028268960787514673,-0.11791192111188342,2.9127399461369223,0.16757544119122064
1.4974050521850586,1.8930434504639253,2.1861763035376875,-0.8130386969058524,-0.1290734570023302,-0.012404878749527656,-0.12230470656515022,3.003999377190421,0.17824780382184338
1.5474271774291992,2.203476170361686,1.4192294758630855,-0.8588700686761263,-0.11229336506429172,0.0012046321926375424,-0.11262199284138737,2.758111189451604,0.15904390666651563
