trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,0.075,True,,0.0002761448535938249,1.0,1.8868465925812454e-05,1.4265227440402491e-05,2.5141813380678056e-11,3.059816704048032e-05,3.780945473030017e-05,0.0023749208866827125,0.015832805911218086,0.003832267316618259,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T024026_common_0p075/e1_scale-0p075
e2-figure-eight,0.075,True,,0.00027738073633691964,1.0,0.0008569078322545231,0.0005386775381705987,2.507376320072545e-11,0.0012822401289417794,0.0014280104295813921,0.002536151655107601,0.01690767770071734,0.013350766959419039,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T024026_common_0p075/e2_scale-0p075
e3-circle,0.075,True,,0.0002767261880519001,1.0,0.0012876485738243357,0.0008100249550457771,2.5141812546734537e-11,0.0019271205686722252,0.0021471302908745147,0.0031580449490127963,0.02105363299341864,0.02105363299341864,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T024026_common_0p075/e3_scale-0p075
e4-cardioid,0.075,True,,0.00027616389789717475,1.0,2.2219365951485773e-06,1.9594471061394405e-06,2.5141813380678056e-11,3.821381556607561e-06,5.1934498799531995e-06,0.0023749208866827125,0.015832805911218086,0.0038831888029910574,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T024026_common_0p075/e4_scale-0p075
