posture,initial_q,calibrated_base_z_offset_m,initial_force_N,trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,qdot_saturation_fraction,tail_max_qdot_utilization,case_dir
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;max_angular_velocity_slack_rad_s,0.0002682015112313996,1.0,0.0021081773121512716,0.0011401155164503574,1.3416647098860481e-08,0.029713309003769003,0.030301564155539605,0.0,0.21998062669368101,runs/orientation_posture_sweep/20260524T041329_weight_0p01/bend_0p10/e2_scale-1
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0001662665701877697,1.0,0.004366371262656862,0.0026790837997653326,2.540151183281876e-09,0.06477119695525288,0.07081559362643841,0.0,0.0665436945734184,runs/orientation_posture_sweep/20260524T041329_weight_0p01/bend_0p10/e3_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;max_angular_velocity_slack_rad_s,0.00021567373884567086,1.0,0.0020962958053321783,0.0011338654290518283,4.79130028593263e-09,0.029647662885572135,0.030238356115096055,0.0,0.07530907522421867,runs/orientation_posture_sweep/20260524T041329_weight_0p01/bend_0p125/e2_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.00016318918244615066,1.0,0.004362421708908419,0.00267814048188025,3.1786945431982387e-09,0.06475140615024173,0.07080130976446315,0.0,0.0469515728848963,runs/orientation_posture_sweep/20260524T041329_weight_0p01/bend_0p125/e3_scale-1
