posture,initial_q,calibrated_base_z_offset_m,initial_force_N,trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,qdot_saturation_fraction,tail_max_qdot_utilization,case_dir
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.00023130783945310096,1.0,0.004459991785956491,0.002404776958087202,1.3200047337330022e-08,0.02091735647789599,0.021336044103234347,0.0,0.15131119424268424,runs/orientation_posture_sweep/20260524T041329_weight_0p03/bend_0p10/e2_scale-1
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.00024109719467782064,1.0,0.009332409383380758,0.005677440020932266,3.8569616277887625e-09,0.0459954258417765,0.05008584241124015,0.0,0.034469522148710956,runs/orientation_posture_sweep/20260524T041329_weight_0p03/bend_0p10/e3_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.00019987023611298116,1.0,0.004444203132114216,0.002396555571995204,6.635949466405068e-09,0.02090444848766268,0.021323517227569776,0.0,0.07150036421501886,runs/orientation_posture_sweep/20260524T041329_weight_0p03/bend_0p125/e2_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.00021087846981932446,1.0,0.009325255341298501,0.00567462691953639,4.798195686733504e-09,0.04599374500396258,0.050085097845713716,0.0,0.03209498397341579,runs/orientation_posture_sweep/20260524T041329_weight_0p03/bend_0p125/e3_scale-1
