posture,initial_q,calibrated_base_z_offset_m,initial_force_N,trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,qdot_saturation_fraction,tail_max_qdot_utilization,case_dir
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.0002160326762435305,1.0,0.007298434567067694,0.003929059585831822,8.91315230495758e-09,0.010260627469780797,0.010467138725926963,0.0,0.1299873376961688,runs/orientation_posture_sweep/20260524T041329_calibration_safe/bend_0p10/e2_scale-1
bend_0p10,"0,-0.1,0.15,-0.05,0,0",-0.0009710693359375,4.995281922830507,e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.0002862430359814949,1.0,0.015476725649078916,0.009324376968676102,3.2042642749295684e-09,0.022792200960046364,0.024703715417836912,0.0,0.026477315569359533,runs/orientation_posture_sweep/20260524T041329_calibration_safe/bend_0p10/e3_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.00019339910009364748,1.0,0.007286412725588208,0.003922910008048283,5.063913833269959e-09,0.010270627122803135,0.01047734112092219,0.0,0.069661239122212,runs/orientation_posture_sweep/20260524T041329_calibration_safe/bend_0p125/e2_scale-1
bend_0p125,"0,-0.125,0.185,-0.06,0,0",-0.0014990234375000001,5.005930952900419,e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.0002577797133068904,1.0,0.015470348110780442,0.00932163031725057,3.9417271409195335e-09,0.02280085805300149,0.024712402242088063,0.0,0.02474131146878367,runs/orientation_posture_sweep/20260524T041329_calibration_safe/bend_0p125/e3_scale-1
