trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.00023345708686040357,1.0,0.003184744896662225,0.0023655651362415155,2.5700554600126784e-10,0.005136871635287625,0.006274316963057496,0.029648978302197086,0.19765985534798058,0.19765985534798058,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T030000/e1_scale-1
e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.0002160326762435305,1.0,0.007298434567067694,0.003929059585831822,8.91315230495758e-09,0.010260627469780797,0.010467138725926963,0.06197338957542153,0.4131559305028102,0.1299873376961688,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T030000/e2_scale-1
e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.0002862430359814949,1.0,0.015476725649078916,0.009324376968676102,3.2042642749295684e-09,0.022792200960046364,0.024703715417836912,0.06610212883996895,0.44068085893312636,0.026477315569359533,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T030000/e3_scale-1
e4-cardioid,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.0003562830612294643,1.0,0.004494395723717899,0.003780887157776594,1.3289805594237356e-09,0.007633905650640362,0.010045349955744527,0.05783610444442381,0.38557402962949205,0.38557402962949205,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T030000/e4_scale-1
