trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,1.0,True,,0.00027029934127870245,1.0,8.681961433797088e-06,8.003170786422185e-06,2.5138538108367022e-11,0.017123697812485454,0.02116478539299565,0.00404765752826679,0.026984383521778604,0.026984383521778604,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T023429/e1_scale-1
e2-figure-eight,1.0,True,,0.0004916689518725792,1.0,2.797143784170073e-05,2.9408999634158134e-05,3.0544515859632325e-08,0.03763453579359901,0.04250367598436786,0.09256871946710409,0.6171247964473606,0.6171247964473606,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T023429/e2_scale-1
e3-circle,1.0,True,,0.0008205269114679869,1.0,5.097698265515408e-05,3.483121447610465e-05,1.3843127033316384e-09,0.08108796381776726,0.08895566203803207,0.042191962019700456,0.28127974679800305,0.28127974679800305,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T023429/e3_scale-1
e4-cardioid,1.0,True,,0.00017134573277962305,1.0,1.0950950750024289e-05,1.2398130453431907e-05,6.136117199949192e-11,0.024563131472431995,0.03274048254777163,0.008184256750478158,0.054561711669854386,0.054561711669854386,0.0,0.0,0.0,0.0,runs/orientation_hold_matrix/20260524T023429/e4_scale-1
