trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,0.075,True,,0.000276144819236912,1.0,1.1694975573206327e-08,5.958126716066033e-10,2.5135894620332156e-11,0.00010183147439858829,0.0001272290438944111,0.0023749215880613022,0.01583281058707535,0.0038318015338999816,0.0,0.0,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206_common_0p075/e1_scale-0p075
e2-figure-eight,0.075,True,,0.0002771005815372496,1.0,6.708191085550114e-07,2.4433712474975925e-09,2.461024130117435e-11,0.004516128236962064,0.005076738194606452,0.0025361536010690623,0.01690769067379375,0.005903898478793365,0.0,0.0,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206_common_0p075/e2_scale-0p075
e3-circle,0.075,True,,0.00027633354479075225,1.0,4.49993594371628e-07,3.695694551120664e-09,2.5135894633884683e-11,0.006787233568225033,0.007632937570076151,0.0023749215880613213,0.015832810587075478,0.005652094795331068,0.0,0.0,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206_common_0p075/e3_scale-0p075
e4-cardioid,0.075,True,,0.00027616389259353056,1.0,2.3656478121235595e-08,5.958126716066033e-10,2.5135894620332156e-11,1.2211424954475569e-05,1.6778016440715262e-05,0.0023749215880613022,0.01583281058707535,0.0038831831175570393,0.0,0.0,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206_common_0p075/e4_scale-0p075
