index,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
0,0.0,-0.1,0.15,-0.041,0.0,-0.0235,4.955736512161616,1,0.04426348783838385,0.0,0.0005975372244772861,0.0,0.1890329252341192
1,-8.143658676744743e-11,-0.10000950542019545,0.1496311441632016,-0.04067479803499425,2.5963218630304658e-12,-0.0226618918931895,4.9999999999810125,1,1.8987478256349277e-11,5.194389220232622e-11,0.0006107468258233755,7.4218062799548335e-09,0.1882479764192973
2,-1.6287483434759294e-10,-0.10006559528417754,0.14932544129802305,-0.04035358162543597,5.183629472635422e-12,-0.021836358986438594,4.999999999982167,1,1.7832846310739114e-11,4.3003099510050415e-11,0.0006239563662847744,7.071288201332228e-09,0.18746301983214864
3,-2.4431852612313057e-10,-0.10011668819513003,0.14901366348636355,-0.04003314848269886,7.7619861500371e-12,-0.0210089651774971,4.9999999999871445,1,1.2855494446739613e-11,4.2757959429116746e-11,0.0006371659154418216,7.0788535222912425e-09,0.18667806360308256
4,-3.257660130753426e-10,-0.10016278163763137,0.14869579010030304,-0.039713468480000895,1.0331378006905073e-11,-0.020179722122678632,4.999999999991243,1,8.757439218243235e-12,4.252310642080441e-11,0.0006503754646091523,7.086532402651886e-09,0.1858931073741279
5,-4.07215257298267e-10,-0.10020387178888245,0.14837179984999338,-0.03939451310407799,1.2891750214770761e-11,-0.019348640868217873,4.999999999995841,1,4.1593395394556865e-12,4.229866261107289e-11,0.0006635850137868861,7.094344307296961e-09,0.18510815114530427
6,-4.8867010268878e-10,-0.10023995346375689,0.14804167043662037,-0.039076255180316155,1.5443193743169085e-11,-0.01851573147508175,4.99999999999127,1,8.729905687232531e-12,4.2085117030709376e-11,0.0006767945629755157,7.102329971770974e-09,0.1843231949166538
7,-5.70127612914238e-10,-0.10027102028849323,0.1477053783771651,-0.03875866817611563,1.7985643219901125e-11,-0.017681003366626567,4.999999999978914,1,2.1086243862100673e-11,4.188244087036682e-11,0.0006900041121750099,7.110503281335512e-09,0.18353823868818964
8,-6.515899447516385e-10,-0.10029706444071358,0.14736289928320465,-0.038441727272322514,2.0519151541152593e-11,-0.016844464796003645,4.999999999986284,1,1.3716139335429034e-11,4.1691032073272617e-11,0.0007032136613857676,7.118906582194836e-09,0.18275328245995484
9,-7.330539378859326e-10,-0.1003180769711459,0.147014207517829,-0.03812540804077789,2.3043654997752782e-11,-0.01600612350375322,4.9999999999693205,1,3.0679458973281726e-11,4.151097891006239e-11,0.0007164232106078774,7.127559149319513e-09,0.18196832623196754
10,-8.145226636725048e-10,-0.10033404744906553,0.14665927657928138,-0.03780968791146388,2.55592171503194e-11,-0.015165985988899785,4.999999999998571,1,1.4290790772975015e-12,4.134270186140037e-11,0.0007296327598417598,7.1364996051710516e-09,0.18118337000426812
11,-8.959947555751954e-10,-0.10034496415945292,0.14629807888698498,-0.03749454535565471,2.806581988336558e-11,-0.014324057914638935,4.999999999984996,1,1.5003998043994216e-11,4.118631695327373e-11,0.0007428423090875312,7.1457549543289864e-09,0.180398413776881
12,-9.774699217644449e-10,-0.1003508142269816,0.14593058562830907,-0.03717995933985277,3.0563447924139953e-11,-0.013480344377201444,4.99999999998793,1,1.2070344723724702e-11,4.104219345944813e-11,0.0007560518583455619,7.1553626030268855e-09,0.17961345754984637
13,-1.0589499488446497e-09,-0.10035158342319249,0.14555676696415482,-0.03686591011846321,3.305215089165423e-11,-0.012634849511573995,4.9999999999789315,1,2.106848029370667e-11,4.091066858647653e-11,0.0007692614076161876,7.165353954652249e-09,0.17882850132319514
14,-1.1404317099858828e-09,-0.10034725622863638,0.14517659194467997,-0.03655237894720257,3.5531862200847855e-11,-0.01178757663167735,4.999999999986868,1,1.3131717935266352e-11,4.0791817555266025e-11,0.0007824709568994845,7.175759399136555e-09,0.1780435450969553
15,-1.2219188359267355e-09,-0.10033781572720911,0.14479002862008603,-0.03623934851426893,3.800265393817941e-11,-0.010938528015657574,4.999999999986162,1,1.3837819778927951e-11,4.068608250626718e-11,0.0007956805061958951,7.18661725316915e-09,0.17725858887116933
16,-1.30340654010509e-09,-0.10032324368895139,0.14439704392525743,-0.035926802553152025,4.0464447773037153e-11,-0.010087705094908927,4.999999999996692,1,3.3075764349632664e-12,4.0593842238483615e-11,0.0008088900555057984,7.1979677545816465e-09,0.17647363264587498
17,-1.3849010418957143e-09,-0.10030352072932312,0.14399760345614526,-0.035614725094781585,4.291735679786163e-11,-0.00923510881902041,4.9999999999831415,1,1.6858514584328077e-11,4.0515228375433096e-11,0.0008220996048293261,7.209838437464993e-09,0.1756886764210999
18,-1.4663952399859112e-09,-0.10027862594820607,0.1435916718856133,-0.03530310200515566,4.5361255103755804e-11,-0.008380738895022234,4.99999999998807,1,1.1930012533412082e-11,4.045073244731958e-11,0.0008353091541669702,7.222275331760938e-09,0.1749037201968904
19,-1.5478940685534659e-09,-0.10024853722302511,0.14317921257060165,-0.03499191964137269,4.7796226500066396e-11,-0.007524594445366716,4.999999999984728,1,1.5272227926743653e-11,4.040059360983505e-11,0.00084851870351897,7.235314093348572e-09,0.17411876397328208
20,-1.6293974475793176e-09,-0.1002132310375181,0.14276018772963586,-0.03468116554682382,5.0222279069584985e-11,-0.0066666736614945914,4.999999999987608,1,1.2391865311656147e-11,4.0365260053331826e-11,0.0008617282528857739,7.248998725359547e-09,0.1733338077503203
21,-1.7109019018150695e-09,-0.10017268247607782,0.1423345584145067,-0.03437082841503851,5.26393513066544e-11,-0.0058069738173133585,4.999999999990223,1,9.777068044058979e-12,4.034503075571848e-11,0.0008749378022676812,7.263368169874081e-09,0.17254885152804234
22,-1.792411671043641e-09,-0.100126865308958,0.14190228435447663,-0.03406089762698442,5.504751895246694e-11,-0.004945491490908836,4.99999999998573,1,1.4270362669321912e-11,4.034039987446656e-11,0.0008881473516651871,7.278467069445843e-09,0.1717638953064939
23,-1.8739223141694393e-09,-0.10007575189821818,0.14146332403013953,-0.03375136359203382,5.7446716668293884e-11,-0.0040822223914841,4.9999999999815525,1,1.84474657771716e-11,4.03516134962193e-11,0.0009013569010785363,7.294336409999297e-09,0.17097893908571637
24,-1.9554391691869673e-09,-0.10001931306408356,0.14101763480633175,-0.03344221828085006,5.983703756910609e-11,-0.003217161093040799,4.999999999998565,1,1.4352963262354024e-12,4.037924210875035e-11,0.0009145664505083003,7.311030007324371e-09,0.17019398286576112
25,-2.0369565904361288e-09,-0.0999575183635364,0.14056517249525646,-0.033133453837968965,6.221837074298953e-11,-0.0023503017063010267,4.999999999983505,1,1.6495249610670726e-11,4.042357251458485e-11,0.0009277759999547662,7.32858474466794e-09,0.16940902664666976
26,-2.1184777520356344e-09,-0.09989033575309174,0.14010589175668187,-0.032825064038612094,6.459079525408473e-11,-0.0014816371593536289,4.999999999982491,1,1.750866118754857e-11,4.0485125802860324e-11,0.0009409855494184554,7.347057847394005e-09,0.1686240704284961
27,-2.200002055517598e-09,-0.09981773179055317,0.13963974575261373,-0.03251704323380846,6.695428592816652e-11,-0.000611159705420256,4.999999999983399,1,1.660094284261504e-11,4.0564421242393814e-11,0.000954195098899888,7.366497721265508e-09,0.16783911421128722
28,-2.2815299002768264e-09,-0.09973967151858494,0.13916668623544798,-0.03220938676678857,6.930886344242726e-11,0.0002611392889453888,4.999999999987792,1,1.2208012378778221e-11,4.066191311595239e-11,0.0009674046483995172,7.386956898077904e-09,0.16705415799509996
29,-2.3630588312992636e-09,-0.09965611839806632,0.13868666356802442,-0.031902091158723715,7.165448193534196e-11,0.0011352694428980344,4.99999999999012,1,9.880096740744193e-12,4.0778131122098405e-11,0.0009806141979178734,7.408491246085726e-09,0.1662692017799865
30,-2.444592790346063e-09,-0.09956703434898134,0.13819962658082138,-0.03159515376887053,7.39912166198612e-11,0.002011241205146832,4.999999999991869,1,8.131273432354647e-12,4.091352869136788e-11,0.0009938237474554105,7.431154033668073e-09,0.16548424556600333
31,-2.5261282305115223e-09,-0.09947237964426288,0.13770552263903257,-0.03128857315123035,7.631900235701726e-11,0.002889066037373271,4.999999999984024,1,1.5975665235146153e-11,4.106867369113213e-11,0.0010070332970126966,7.455004113904508e-09,0.1646992893532069
32,-2.6076671371115846e-09,-0.09937211296155382,0.1372042974682726,-0.030982348635525694,7.863789244012555e-11,0.0037687562212630646,4.999999999984257,1,1.574296248918472e-11,4.12443058052585e-11,0.0010202428465904718,7.480106564859762e-09,0.1639143331416636
33,-2.689207673313745e-09,-0.09926619128225399,0.1366958952025941,-0.03067648063908159,8.094784377136107e-11,0.004650325021427468,4.999999999987103,1,1.2897238832465518e-11,4.144085240087204e-11,0.001033452396189163,7.50652231223502e-09,0.16312937693143428
34,-2.7707524655027565e-09,-0.09915456987888716,0.1361802582932147,-0.03037097053742859,8.324889480285508e-11,0.005533786634642971,4.99999999998629,1,1.3709922086491133e-11,4.1658955118401327e-11,0.0010466619458094127,7.534311462827337e-09,0.16234442072257751
35,-2.8522994015177503e-09,-0.09903720224104685,0.13565732750535925,-0.030065820826625705,8.554103998427301e-11,0.0064191562812594815,4.999999999984191,1,1.580868769224253e-11,4.1899377097493414e-11,0.0010598714954519837,7.563551824839518e-09,0.16155946451517375
36,-2.9338500415540167e-09,-0.09891404022008843,0.13512704155460256,-0.029761034165770386,8.78242749712218e-11,0.007306449756092131,4.999999999984476,1,1.552358241951879e-11,4.216274042441388e-11,0.0010730810451174987,7.594306140395539e-09,0.16077450830928322
37,-3.0154019677853484e-09,-0.09878503351631056,0.13458933779814156,-0.02945661573586304,9.009859245914663e-11,0.00819568458316176,4.999999999992238,1,7.761791209759394e-12,4.2449815208755496e-11,0.0010862905948067283,7.626655737432446e-09,0.15998955210499038
38,-3.096958652947164e-09,-0.09865013012885859,0.13404415136408776,-0.02915257071281488,9.236403444064222e-11,0.00908687880934234,4.999999999992324,1,7.675637903048482e-12,4.276127954887003e-11,0.0010995001445203503,7.660671661873654e-09,0.15920459590236347
39,-3.178515696471258e-09,-0.09850927603974277,0.1334914155068427,-0.028848905598717677,9.462055151721371e-11,0.009980051664255305,4.999999999985369,1,1.4630963107720163e-11,4.3097974672876756e-11,0.0011127096942592056,7.69643285734535e-09,0.1584196397014825
40,-3.2600783163386973e-09,-0.09836241525176989,0.13293106137808422,-0.028545627739346217,9.686819650111129e-11,0.01087522334471441,4.99999999998494,1,1.5059953284435323e-11,4.3460734357967394e-11,0.0011259192440241286,7.734029331607433e-09,0.1576346835024372
41,-3.341640654718445e-09,-0.09820948970813381,0.13236301798084082,-0.02824274542682764,9.910690565910607e-11,0.01177241508293211,4.999999999982862,1,1.7138290786533616e-11,4.385039467501673e-11,0.0011391287938159553,7.773541031755712e-09,0.15684972730530813
42,-3.42320816824874e-09,-0.09805043908468827,0.1317872123401418,-0.02794026866582128,1.0133675800989409e-10,0.012671649534295344,4.999999999999041,1,9.592326932761353e-13,4.426786017699382e-11,0.001152338343635591,7.815064850974939e-09,0.15606477111019196
43,-3.5047746229518672e-09,-0.09788520100621596,0.131203568921841,-0.02763820767708408,1.0355766974262839e-10,0.013572950078398673,4.999999999989981,1,1.0018652574217413e-11,4.471418462932539e-11,0.001165547893484089,7.85869184964535e-09,0.1552798149171797
44,-3.5863463161052448e-09,-0.09771371070357825,0.1306120100138329,-0.027336574334449915,1.0576972847410562e-10,0.014476341531943505,4.999999999991942,1,8.058442801939236e-12,4.519016593069557e-11,0.0011787574433622468,7.904521517421575e-09,0.15449485872637161
45,-3.6679182085994124e-09,-0.097535901076306,0.13001245538567216,-0.027035381433564227,1.0797287011048501e-10,0.015381849820444235,4.999999999985812,1,1.41877620762898e-11,4.5696983214695514e-11,0.0011919669932712444,7.952661020223452e-09,0.15370990253787306
46,-3.749494159732661e-09,-0.09735170264181658,0.12940482212495807,-0.02673464252359013,1.1016715148984343e-10,0.016289501922776676,4.999999999988843,1,1.1157297308272973e-11,4.623580000410544e-11,0.0012051765432122448,8.003215629136845e-09,0.1529249463517922
