trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e1-cycloid,0.05,False,max_orientation_error_rad,0.00017021009960104026,1.0,1.1023112188650996e-06,2.0669234005567142e-10,6.883695456911306e-12,0.1744980186604636,3.112113010491921e-06,0.017777045930598347,0.11851363953732232,0.10864164340958926,0.0,0.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1/e1_scale-0p05
e1-cycloid,0.075,False,max_orientation_error_rad,0.00017028171203874897,1.0,1.10245592973691e-06,2.067821966585339e-10,6.8836985028417844e-12,0.1744980186604636,7.001930470953769e-06,0.01777704593078365,0.11851363953855767,0.10864180071848975,0.0,0.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1/e1_scale-0p075
e1-cycloid,0.1,False,max_orientation_error_rad,0.00017042122824620254,1.0,1.102739183989308e-06,2.0702849796448462e-10,6.883704948762513e-12,0.1744980186604636,1.2447475324324366e-05,0.01777704593037317,0.11851363953582113,0.10864210734330415,0.0,0.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1/e1_scale-0p1
