trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e2-figure-eight,0.15,False,max_planar_velocity_slack_m_s,0.00027674337343401746,1.0,0.0017015874023387015,0.001066535242222138,6.270271252773789e-11,0.002544398187252183,0.0028287875735388238,0.00969419937291635,0.06462799581944233,0.06462799581944233,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T023938_e2e3_slow/e2_scale-0p15
e2-figure-eight,0.1,True,,0.00027780426626062394,1.0,0.0011404321848763198,0.0007163702055920432,2.505107995604455e-11,0.0017061767936499997,0.0018992953192046853,0.003795194503651141,0.02530129669100761,0.02530129669100761,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T023938_e2e3_slow/e2_scale-0p1
e3-circle,0.15,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s,0.00027414347501199753,1.0,0.0025704763941887788,0.0016157482314288392,9.853467507740747e-11,0.003846797474136364,0.0042841960159030945,0.01355827414510808,0.09038849430072055,0.09038849430072055,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T023938_e2e3_slow/e3_scale-0p15
e3-circle,0.1,False,max_planar_velocity_slack_m_s,0.0002771165536991338,1.0,0.0017160357723471772,0.0010792940395144709,3.184774176915602e-11,0.002568205077479452,0.0028610958265000387,0.005804197554593165,0.03869465036395444,0.03869465036395444,0.0,0.0,0.0,0.0,runs/orientation_gate_timing_sweep/20260524T023938_e2e3_slow/e3_scale-0p1
